"Flight Time(New)
Battery B","Flight Time (Standard)
Battery A"
32.73965467415726,31.836014032240108
33.26729064490999,32.313593627054786
32.95788134567845,32.075139007119155
33.49170185494787,32.30952476695025
33.51150368173701,32.38874194713616
33.3176488357982,32.00256088316085
33.40518427183401,31.633957862424005
33.490610171341395,32.1759207748889
33.22292101049316,32.54445238078511
33.0810842058433,31.985271939860166
33.65497259412635,32.0964681416387
33.1534938601496,32.01618320512945
33.45772259609687,32.05718355930518
33.51329229751693,32.24689198759761
33.19112994902958,31.906686196155086
33.37146816457016,32.03982383329779
33.7977937846763,32.188123269335854
33.48846701592162,32.449490540255326
33.58277732276419,32.14012889022114
33.24879640179953,31.783279333433967
33.16813707930599,31.913099987898054
34.0043490178637,32.1929896169476
33.178916607549255,31.81713960584633
33.04011264354358,32.3819588848826
32.98176168088696,31.984524349135025
33.2479635079211,31.943633409464375
33.338611021293104,32.21142710686982
33.69231726383049,32.20750677662614
33.640381863549436,31.782677914541576
33.1910467804621,32.37442274351213
33.37071864519736,32.30619202869065
33.08309049578566,32.23407668688559
32.987439042518425,31.781220900147687
33.20891663369277,31.930833820752767
33.68591275962675,32.27262344171809
33.29799995647431,32.13940539257375
33.317824698841825,32.279949811913745
33.15391495139874,31.87689491214358
33.2497826120775,32.28611142377883
33.24170631323066,32.441132749479706
33.12339295071206,32.05343267015754
33.483823064160156,32.48981564008885
33.55874590369117,31.925173555395194
33.65397786207137,32.42323172727789
33.42818608049594,32.30888095373273
33.20944338304105,31.650992876726338
33.232126422030085,31.914350204806926
33.317959508337616,32.21906640538906
33.322594097113715,32.42420095477065
32.93684151604527,32.414732509416616
33.33191067225747,32.675947517087366
33.26493268312133,32.3255407967057
33.87702989978881,32.25448486982001
33.55436273395442,31.947519231856717
33.79343777876729,31.717427586066325
33.541350544032525,31.93125807329193
33.38021880158796,32.61868846004144
33.061829926703616,31.459662559488926
33.95276244743139,32.23304483498728
33.42144623038845,32.03002394025889
33.62596119042448,31.96260616219748
33.55031796461186,32.55974485039487
33.21481941410543,31.545455936815838
33.68891728232309,32.29545927212843
33.618690852464766,32.027777916312886
33.25468022409326,32.13709106734671
33.553889975268476,31.93156672422604
33.1294795679945,31.957555363967174
33.39649376680113,31.87940182818203
33.5956683251961,31.93682586704341
33.170272510835666,31.974197935104304
33.70708355307205,32.141836728950096
32.93795181320876,32.03345533722194
33.54888287607643,31.732860631049732
33.29938922658813,32.00771834989259
33.57775307295793,32.359648487992274
33.170625186912915,31.919723097550193
33.24074984734031,32.58974459026625
33.20646356719135,32.504294752555424
33.116996287162785,32.14219165460945
33.19612076364782,32.1661613975573
33.143323670143566,32.32743942297366
33.265171258435245,31.470028098713588
33.321123643258275,31.99505379681645
33.18332932477079,32.26114576258061
33.6220878840537,32.01339765682598
33.07970234986278,31.905773443222586
33.50188245250929,32.05925600563167
33.10135508513894,31.934284492583735
33.515121847609336,32.43784745869348
33.16110861613964,32.0175364112438
33.0497042330921,32.35959275922628
33.087765681155545,32.464120821842904
33.689025239956244,32.03509437970781
33.34361273477936,32.17720426355266
33.304032275803614,32.190958592124396
33.440964305588956,31.68365336399806
33.41290496982932,32.128305873750946
33.29627177018429,32.286283044195294
33.272277733304456,31.97996660159408
33.09867162058777,32.323728180648175
33.47682330187728,32.26432344761156
33.82639569459556,32.02225541959745
33.576314960034985,32.19658078057793
33.239551509852944,31.352933313974127
33.54483961726519,32.28197926480323
33.28116032959727,32.3053495926639
33.03451008199153,32.32086932489135
32.961430008017714,32.20458191269523
33.18489371621554,32.5277952806319
33.136512353406644,32.13626017786441
33.351708620737114,31.929753932953876
33.92916983731341,31.725603391955413
33.10601917040196,31.930679859693903
33.50802196441554,32.11873243446696
33.52327666724293,32.224186815418776
33.21777123753391,32.012164911566494
33.44288281350625,32.253486718613296
33.300797531203,32.200739913703366
33.417986111436385,32.300636881861784
33.27927962252027,32.37222561569745
33.08910857473274,32.450116401355885
33.49441892854593,32.32342977584968
33.7463411832265,31.971868079614982
33.51698233667251,32.32777485633503
33.5040069082419,32.145263792085544
33.22099563671795,32.050258204280624
33.26925652479129,31.96976103367424
33.33044447446311,32.035642920788106
33.465092362266255,32.61988816453657
